,Product Name,Prices
0,URBANBOX,299
1,TPENT,444
2,AJANTA,289
3,CAMPUS,749
4,CAMPUS,989
5,BRUTON,299
6,TPENT,444
7,asian,599
8,BIRDE,309
9,HOTSTYLE,267
10,TPENT,444
11,asian,649
12,HOTSTYLE,239
13,New Balance,"3,150"
14,Nobelite,341
15,PUMA,"1,199"
16,asian,769
17,aadi,409
18,PUMA,"2,699"
19,Hambler,297
20,asian,749
21,aadi,409
22,asian,869
23,Bata,609
24,asian,"1,049"
25,ADIDAS,"1,464"
26,asian,"1,099"
27,JQR,"1,444"
28,asian,799
29,asian,869
30,asian,769
31,BIG FOX,684
32,REEBOK,"1,047"
33,CAMPUS,749
34,RED TAPE,"1,619"
35,PUMA,"1,799"
36,asian,749
37,Server,459
38,Robbie jones,449
39,PUMA,"1,584"
40,ADIDAS,"4,769"
41,ADIDAS,"5,913"
42,CAMPUS,"1,119"
43,CAMPUS,989
44,CAMPUS,"1,039"
45,RED TAPE,"1,619"
46,ADIDAS,"2,197"
47,ADIDAS,"2,580"
48,CAMPUS,939
49,Asics,"3,244"
50,CAMPUS,989
51,ADIDAS,"1,920"
52,aadi,359
53,HRX by Hrithik Roshan,"3,999"
54,CAMPUS,799
55,CAMPUS,"1,159"
56,ADIDAS,"1,978"
57,ADIDAS,"2,880"
58,CAMPUS,889
59,CAMPUS,"1,274"
60,ADIDAS,"1,937"
61,ADIDAS,"9,499"
62,BERSACHE,882
63,CAMPUS,"1,159"
64,New Balance,"4,620"
65,asian,"1,299"
66,ADIDAS,"3,840"
67,ADIDAS,"3,168"
68,ADIDAS,"1,464"
69,BIRDE,491
70,JQR,"1,249"
71,BROOKS,"4,081"
72,CAMPUS,"1,159"
73,CAMPUS,989
74,HOTSTYLE,239
75,asian,599
76,ADIDAS,"1,679"
77,ADIDAS,"2,880"
78,aadi,418
79,Bata,829
80,URBANBOX,299
81,TPENT,444
82,CAMPUS,"1,039"
83,CAMPUS,649
84,PUMA,"2,400"
85,JQR,999
86,TPENT,444
87,TPENT,444
88,Jabra,789
89,RED TAPE,"2,369"
90,asian,"1,049"
